oa_code,rnk,appliance_callsign,drive_time
E00076600,1,KV49P1,3.6
E00076601,1,KV49P1,4.0
E00076602,1,KV49P1,2.72
E00076603,1,KV49P1,3.82
E00076604,1,KV49P1,3.11
E00076605,1,KV49P1,2.89
E00076606,1,KV49P1,4.23
E00076607,1,KV49P1,3.1
E00076608,1,KV49P1,2.59
E00076609,1,KV49P1,4.05
E00076610,1,KV49P1,2.1
E00076611,1,KV49P1,4.17
E00076612,1,KV49P1,4.4
E00076613,1,KV49P1,4.32
E00076614,1,KV49P1,2.99
E00076615,1,KV49P1,3.93
E00076616,1,KV49P1,4.15
E00076617,1,KV49P1,4.04
E00076618,1,KV49P1,4.21
E00076619,1,KV49P1,4.14
E00076620,1,KV49P1,3.83
E00076621,1,KV49P1,3.89
E00076622,1,KV49P1,3.38
E00076623,1,KV49P1,4.28
E00076624,1,KV49P1,3.89
E00076625,1,KV49P1,3.82
E00076626,1,KV49P1,3.51
E00076627,1,KV48P1,2.25
E00076628,1,KV50P2,2.68
E00076629,1,KV48P1,3.23
E00076630,1,KV50P2,3.86
E00076631,1,KV50P2,2.96
E00076632,1,KV48P1,3.43
E00076633,1,KV50P2,3.07
E00076634,1,KV48P1,1.52
E00076635,1,KV48P1,1.89
E00076636,1,KV48P1,1.72
E00076637,1,KV48P1,1.87
E00076638,1,KV48P1,2.1
E00076639,1,KV48P1,2.03
E00076640,1,KV48P1,2.15
E00076641,1,KV48P1,2.2
E00076642,1,KV48P1,1.94
E00076643,1,KV48P1,2.04
E00076644,1,KV48P1,2.02
E00076645,1,KV48P1,2.09
E00076646,1,KV48P1,2.34
E00076647,1,KV48P1,2.09
E00076648,1,KV50P2,2.4
E00076649,1,KV48P1,2.42
E00076650,1,KV48P1,2.69
E00076651,1,KV48P1,2.44
E00076652,1,KV48P1,2.54
E00076653,1,KV48P1,2.47
E00076654,1,KV48P1,2.52
E00076655,1,KV48P1,2.73
E00076656,1,KV48P1,2.8
E00076657,1,KV48P1,2.75
E00076658,1,KV50P2,2.56
E00076659,1,KV50P2,2.97
E00076660,1,KV50P2,2.02
E00076661,1,KV48P1,2.8
E00076663,1,KV50P2,2.33
E00076664,1,KV48P1,3.13
E00076665,1,KV48P1,3.0
E00076666,1,KV50P2,2.38
E00076667,1,KV48P1,3.37
E00076668,1,KV50P2,2.17
E00076669,1,KV50P2,2.62
E00076670,1,KV50P2,2.46
E00076671,1,KV50P1,0.92
E00076672,1,KV50P2,2.25
E00076673,1,KV50P1,0.84
E00076674,1,KV50P1,0.33
E00076675,1,KV50P1,0.57
E00076676,1,KV50P1,0.95
E00076677,1,KV50P2,1.22
E00076678,1,KV50P2,1.43
E00076679,1,KV50P2,1.79
E00076680,1,KV50P1,1.04
E00076681,1,KV50P2,2.08
